02P.DE,PEARL GOLD
1COV.DE,COVESTRO
1PL.DE,POWERLAND
2HR.DE,H + R INH
5AB.DE,ASIAN BAMBOO INH
7PR.DE,PACIFIC RETAIL MERCH
8GS.DE,CHINA SPEC GLASS
8S9.DE,SNOWBIRD
99SC.DE,SOCIAL COMMERCE
A1OS.DE,ALL FOR ONE STEEB
AAA.DE,AAA ALLG ANL VERW
AAD.DE,AMADEUS FIRE
AAH.DE,AHLERS ST
AAH3.DE,AHLERS VZO
AAQ.DE,AAP IMPLANTATE
ABA.DE,ALBA
ACWN.DE,AS CREATION TAPETEN
ADD.DE,ADLER MODEMAERKTE
ADJ.DE,ADO PROPERTIES SA NPV
ADL.DE,ADLER REAL ESTATE
ADN1.DE,ADESSO
ADS.DE,ADIDAS
ADV.DE,ADVA OPT NETW
AEI.DE,ALLGEIER
AFX.DE,CARL ZEISS MEDITEC
AGX.DE,AGENNIX
AIR.DE,AIRBUS GROUP
AIXA.DE,AIXTRON
ALG.DE,ALBIS LEASING
ALV.DE,ALLIANZ VNA
AM3D.DE,SLM SOLUTIONS GRP
ANO.DE,ALNO
AOF.DE,ATOSS SOFTWARE
AOX.DE,ALSTRIA OFFICE REIT
ARL.DE,AAREAL BANK
ARO.DE,ARCANDOR
ART.DE,ARTNET
ARX.DE,TDMI
ATF.DE,ALPHAFORM
B5A.DE,BAUER
B8F.DE,BIOFRONTERA
BAF.DE,BALDA
BAS.DE,BASF
BAYN.DE,BAYER
BC8.DE,BECHTLE
BDT.DE,BERTRANDT
BEI.DE,BEIERSDORF
BEZ.DE,BERENTZEN GRP
BIJ.DE,BIJOU BRIGITTE
BIO.DE,BIOTEST ST
BIO3.DE,BIOTEST VZ
BKS3.DE,BBS KRAFTFAHR TEC VZO
BMSA.DE,BRAAS MONIER BD GR EO
BMW.DE,BAY MOTOREN WERKE ST
BMW3.DE,BAY MOTOREN WERKE VZO
BNR.DE,BRENNTAG
BNT1.DE,EYEMAXX R EST
BOSS.DE,HUGO BOSS
BSL.DE,BASLER
BST.DE,BASTEI LUEBBE
BSY.DE,BOEWE SYSTEC
BTBA.DE,BMP HOLDING
BTT.DE,BABCOCK BSH
BUF.DE,S + O AGRAR
BVB.DE,BORUSSIA DORTMUND
BYW.DE,BAYWA NA
BYW6.DE,BAYWA VINK NA
CAP.DE,CAPITAL STAGE
CBK.DE,COMMERZBANK
CE2.DE,CROPENERGIES
CEA.DE,FRIWO
CEE.DE,CEYONIQ
CEV.DE,CENTROTEC SUSTAINABLE
CNWK.DE,CO DON
COK.DE,CANCOM
COM.DE,COMDIRECT BANK
CON.DE,CONTINENTAL
COO2.DE,CAATOOSEE IL
COP.DE,COMPUGROUP MED
CSH.DE,CENIT
CU1.DE,CHORUS CLEAN ENERGY
CUR.DE,CURASAN
CWC.DE,CEWE STIFT KGAA
DAI.DE,DAIMLER
DAM.DE,DATA MODUL
DB1.DE,DEUTSCHE BOERSE
DBAN.DE,DT BETEILIG
DBK.DE,DEUTSCHE BANK
DEQ.DE,DEUTSCHE EUROSHOP
DEX.DE,DELTICOM
DEZ.DE,DEUTZ
DFT.DE,DF DT FORFAIT
DIC.DE,DIC ASSET
DIE.DE,DIERIG HOLDING
DKA.DE,DUERKOPP ADLER
DLG.DE,DIALOG SEMICOND
DMRE.DE,DEMIRE DT MTS RE
DPB.DE,DEUTSCHE POSTBANK
DPW.DE,DEUTSCHE POST
DRE2.DE,DT REAL ESTATE
DRI.DE,DRILLISCH
DRW3.DE,DRAEGERWERK VZO
DRW8.DE,DRAEGERWERK ST A
DTD2.DE,B + S BANKSYSTEME
DTE.DE,DT TELEKOM
DUE.DE,DUERR
DVB.DE,DVB BANK
DWNI.DE,DEUTSCHE WOHNEN INH
E4C.DE,ECOTEL COMMUNICATION
E7S.DE,ACCENTRO R EST
EBK.DE,ENBW ENERGIE BAD WUE
ECK.DE,LUDW BECK A RATHAUSECK
ECX.DE,EPIGENOMICS
EIN3.DE,EINHELL GERMANY VZO
EIS.DE,EISEN U HUETTENWERKE
EKT.DE,ENERGIEKONTOR
ELB.DE,ELUMEO
ELG.DE,ELMOS SEMICONDUCTOR
EMH1.DE,PFERDEWETTEN DE
EMQ.DE,EMQTEC
EOAN.DE,E ON
ERMK.DE,DEAG DT ENTERTAINM
ESY.DE,EASY SOFTWARE
EUCA.DE,EUROMICRON
EUZ.DE,ECKERT + ZIEGLER
EV4.DE,CONSTANTIN MEDIEN
EVD.DE,CTS EVENTIM KGAA
EVK.DE,EVONIK INDUSTRIES
EVT.DE,EVOTEC
EXJ.DE,ENERXY IL
F3C.DE,SFC ENERGY
FAM1.DE,DT CANNABIS
FAO2.DE,I:FAO
FDD.DE,PILKINGTON DTLD
FEV.DE,FORTEC ELEKTRO
FIE.DE,FIELMANN
FKE.DE,FEIKE
