1301.JP,KYOKUYO
1332.JP,NIPPON SUISAN KAISHA
1333.JP,MARUHA NICHIRO
1352.JP,HOHSUI
1376.JP,KANEKO SEEDS
1377.JP,SAKATA SEED
1379.JP,HOKUTO
1380.JP,AKIKAWA FOODS FARMS
1381.JP,AXYZ
1382.JP,HOB
1383.JP,BERG EARTH
1384.JP,HOKURYO
1400.JP,RUDEN HOLDINGS
1401.JP,MBS
1405.JP,SALA HOUSE
1407.JP,WEST HOLDINGS
1408.JP,SOMETHING HOLDINGS
1414.JP,SHO BOND HOLDINGS
1417.JP,MIRAIT HOLDINGS
1418.JP,INTERLIFE HOLDINGS
1419.JP,TAMA HOME
1420.JP,SANYO HOMES
1427.JP,HABITA CRAFT
1429.JP,NIPPON AQUA
1430.JP,FIRST CO
1432.JP,SUZUKI SOLAR TECHNO
1433.JP,BESTERRA
1434.JP,JESCO HOLDINGS
1435.JP,INVESTORS CLOUD
1491.JP,CHUGAI MINING
1514.JP,SUMISEKI HOLDINGS
1515.JP,NITTETSU MINING
1518.JP,MITSUI MATSUSHIMA
1605.JP,INPEX
1606.JP,JAPAN DRILLING
1662.JP,JAPAN PETROLEUM EXPLORATION
1663.JP,K O ENERGY GROUP
1711.JP,SHODENSYA
1712.JP,DAISEKI ECO SOLUTION
1716.JP,DAI ICHI CUTTER KOGYO
1717.JP,MEIHO FACILITY WORKS
1718.JP,MIKIKOGYO
1719.JP,HAZAMA ANDO
1720.JP,TOKYU CONSTRUCTION
1721.JP,COMSYS HOLDINGS
1722.JP,MISAWA HOMES
1723.JP,NIHON DENGI
1724.JP,SYNCLAYER
1726.JP,BR HOLDINGS
1728.JP,MISAWA HOMES CHUGOKU
1730.JP,ASO FOAM CRETE
1736.JP,OTEC
1737.JP,MESCO
1739.JP,SEEDHEIWA
1743.JP,KOATSU KOGYO
1757.JP,CREA HOLDINGS
1758.JP,TAIYO KISOKOGYO
1762.JP,TAKAMATSU CONSTRUCTION GROUP
1764.JP,KUDO
1766.JP,TOKEN
1768.JP,SONEC
1770.JP,FUJITA ENGINEERING
1773.JP,YTL BERHAD
1775.JP,FUJI FURUKAWA ENGINEERING CONSTRUCTION
1776.JP,SUMIKEN MITSUI ROAD
1780.JP,YAMAURA
1782.JP,JOBAN KAIHATSU
1783.JP,ASIA GATE HOLDINGS
1787.JP,NAKABOHTEC CORROSION PROTECTING
1788.JP,SANTO
1789.JP,YAMAKA ELECTRIC CONSTRUCTION
1793.JP,OHMOTO GUMI
1795.JP,MASARU
1798.JP,MORIYA
1799.JP,DAIICHI KENSETSU
1801.JP,TAISEI
1802.JP,OBAYASHI
1803.JP,SHIMIZU
1805.JP,TOBISHIMA
1807.JP,WATANABE SATO
1808.JP,HASEKO
1810.JP,MATSUI CONSTRUCTION
1811.JP,THE ZENITAKA
1812.JP,KAJIMA
1813.JP,FUDO TETRA
1814.JP,DAISUE CONSTRUCTION
1815.JP,TEKKEN
1820.JP,NISHIMATSU CONSTRUCTION
1821.JP,SUMITOMO MITSUI CONSTRUCTION
1822.JP,DAIHO
1824.JP,MAEDA
1826.JP,SATA CONSTRUCTION
1827.JP,NAKANO
1828.JP,TANABE ENGINEERING
1833.JP,OKUMURA
1835.JP,TOTETSU KOGYO
1840.JP,TSUCHIYA HOLDINGS
1841.JP,SANYU CONSTRUCTION
1844.JP,OHMORI
1846.JP,SUZUNUI INDUSTRY
1847.JP,ICHIKEN
1848.JP,FUJI P S
1850.JP,NANKAI TATSUMURA CONSTRUCTION
1852.JP,ASANUMA
1853.JP,MORI GUMI
1860.JP,TODA
1861.JP,KUMAGAI GUMI
1865.JP,ASUNARO AOKI CONSTRUCTION
1866.JP,KITANO CONSTRUCTION
1867.JP,UEKI
1868.JP,MITSUI HOME
1870.JP,YAHAGI CONSTRUCTION
1871.JP,P S MITSUBISHI CONSTRUCTION
1873.JP,NIHON HOUSE HOLDINGS
1878.JP,DAITO TRUST CONSTRUCTION
1879.JP,SHINNIHON
1881.JP,NIPPO
1882.JP,TOA ROAD
1883.JP,MAEDA ROAD CONSTRUCTION
1884.JP,THE NIPPON ROAD
1885.JP,TOA
1888.JP,WAKACHIKU CONSTRUCTION
1890.JP,TOYO CONSTRUCTION
1893.JP,PENTA OCEAN CONSTRUCTION
1896.JP,OBAYASHI ROAD
1897.JP,THE KANESHITA CONSTRUCTION
1898.JP,SEIKITOKYU KOGYO
1899.JP,FUKUDA
1904.JP,TAISEI ONCHO
1905.JP,TENOX
1906.JP,HOSODA
1909.JP,NIPPON DRY CHEMICAL
1911.JP,SUMITOMO FORESTRY
1914.JP,JAPAN FOUNDATION ENGINEERING
1916.JP,NISSEI BUILD KOGYO
1919.JP,YAMADA SXL HOME
1921.JP,TOMOE
1924.JP,PANAHOME
1925.JP,DAIWA HOUSE INDUSTRY
1926.JP,RAITO KOGYO
1928.JP,SEKISUI HOUSE
1929.JP,NITTOC CONSTRUCTION
1930.JP,HOKURIKU ELECTRICAL CONSTRUCTION
1931.JP,NIPPON DENTSU
1933.JP,SYSKEN
1934.JP,YURTEC
