AAL.US,AMERICAN AIRLINES GROUP
AAPL.US,APPLE
ADBE.US,ADOBE SYSTEMS
ADI.US,ANALOG DEVICES
ADP.US,AUTOMATIC DATA PROCESSING
ADSK.US,AUTODESK
AKAM.US,AKAMAI TECHNOLOGIES
ALXN.US,ALEXION PHARMACEUTICALS
AMAT.US,APPLIED MATERIALS
AMGN.US,AMGEN
AMZN.US,AMAZON.COM
ATVI.US,ACTIVISION BLIZZARD
AVGO.US,AVAGO TECHNOLOGIES
BBBY.US,BED BATH & BEYOND
BIDU.US,BAIDU
BIIB.US,BIOGEN
BMRN.US,BIOMARIN PHARMACEUTICAL
CA.US,CA
CELG.US,CELGENE
CERN.US,CERNER
CHKP.US,CHECK POINT SOFTWARE TECHNOLOGIES
CHRW.US,CH ROBINSON WORLDWIDE
CHTR.US,CHARTER COMMUNICATIONS
CMCSA.US,COMCAST
CMCSK.US,COMCAST
COST.US,COSTCO WHOLESALE
CSCO.US,CISCO SYSTEMS
CTSH.US,COGNIZANT TECHNOLOGY SOLUTIONS
CTXS.US,CITRIX SYSTEMS
DISCA.US,DISCOVERY COMMUNICATIONS
DISCK.US,DISCOVERY COMMUNICATIONS
DISH.US,DISH NETWORK
DLTR.US,DOLLAR TREE
EA.US,ELECTRONIC ARTS
EBAY.US,EBAY
ESRX.US,EXPRESS SCRIPTS HOLDING
EXPD.US,EXPEDITORS INT OF WASHINGTON
FAST.US,FASTENAL
FB.US,FACEBOOK
FISV.US,FISERV
FOX.US,TWENTY-FIRST CENTURY FOX
FOXA.US,TWENTY-FIRST CENTURY FOX
GILD.US,GILEAD SCIENCES
GMCR.US,KEURIG GREEN MOUNTAIN
GOOG.US,ALPHABET
GOOGL.US,ALPHABET
GRMN.US,GARMIN
HSIC.US,HENRY SCHEIN
ILMN.US,ILLUMINA
INCY.US,INCYTE
INTC.US,INTEL
INTU.US,INTUIT
ISRG.US,INTUITIVE SURGICAL
JD.US,JD.COM
KHC.US,THE KRAFT HEINZ COMPANY
KLAC.US,KLA-TENCOR
LBTYA.US,LIBERTY GLOBAL
LBTYK.US,LIBERTY GLOBAL
LILA.US,LIBERTY GLOBAL LILAC
LILAK.US,LIBERTY GLOBAL LILAC
LLTC.US,LINEAR TECHNOLOGY
LMCA.US,LIBERTY MEDIA
LMCK.US,LIBERTY MEDIA
LRCX.US,LAM RESEARCH
LVNTA.US,LIBERTY VENTURES
MAR.US,MARRIOTT INT
MAT.US,MATTEL
MDLZ.US,MONDELEZ INT
MNST.US,MONSTER BEVERAGE
MSFT.US,MICROSOFT
MU.US,MICRON TECHNOLOGY
MYL.US,MYLAN
NFLX.US,NETFLIX
NTAP.US,NETAPP
NVDA.US,NVIDIA
NXPI.US,NXP SEMICONDUCTORS
ORLY.US,O'REILLY AUTOMOTIVE
PAYX.US,PAYCHEX
PCAR.US,PACCAR
PCLN.US,THE PRICELINE GROUP
PYPL.US,PAYPAL HOLDINGS
QCOM.US,QUALCOMM
QVCA.US,LIBERTY INTERACTIVE QVC GROUP
REGN.US,REGENERON PHARMACEUTICALS
ROST.US,ROSS STORES
SBAC.US,SBA COMMUNICATIONS
SBUX.US,STARBUCKS
SIRI.US,SIRIUS XM HOLDINGS
SNDK.US,SANDISK
SPLS.US,STAPLES
SRCL.US,STERICYCLE
STX.US,SEAGATE TECHNOLOGY
SWKS.US,SKYWORKS SOLUTIONS
SYMC.US,SYMANTEC
TRIP.US,TRIPADVISOR
TSCO.US,TRACTOR SUPPLY
TSLA.US,TESLA MOTORS
TXN.US,TEXAS INSTRUMENTS
VIAB.US,VIACOM
VIP.US,VIMPELCOM
VOD.US,VODAFONE GROUP
VRSK.US,VERISK ANALYTICS
VRTX.US,VERTEX PHARMACEUTICALS
WBA.US,WALGREENS BOOTS ALLIANCE
WDC.US,WESTERN DIGITAL
WFM.US,WHOLE FOODS MARKET
WYNN.US,WYNN RESORTS
XLNX.US,XILINX
YHOO.US,YAHOO!
