17GK.UK,MEGAFON A
19PS.UK,KCELL JSC
365.UK,365 AGILE
3IN.UK,3I INFRASTRUCTURE
50GP.UK,CRODA INT.5.9PF
51FL.UK,ELECTRICA
66XD.UK,EDITA FOOD INDUSTRIES SAE
7DIG.UK,7DIGITAL GROUP
888.UK,888 HOLDINGS
88E.UK,88 ENERGY
AA4.UK,AMEDEO AIR FOUR PLUS
AAA.UK,ALL ASIA ASSET CAPITAL
AAAP.UK,ANGLO AFRICAN AGRICULTURE
AADV.UK,ALBION DEVELOPMENT VCT
AAEV.UK,ALBION ENTERPRISE VCT
AAIF.UK,ABERDEEN ASIAN INCOME FUND
AAL.UK,ANGLO AMERICAN
AAM.UK,ARTEMIS VCT
AAS.UK,ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST
AATG.UK,ALBION TECHNOLOGY & GENERAL VCT
AAU.UK,ARIANA RESOURCES
AAVC.UK,ALBION VENTURE CAPITAL TRUST
AAZ.UK,ANGLO ASIAN MINING
AA_.UK,AA
ABBY.UK,ABBEY
ABC.UK,ABCAM
ABD.UK,ABERDEEN NEW DAWN INVESTMENT TRUST
ABDP.UK,AB DYNAMICS
ABF.UK,ASSOCIATED BRITISH FOODS
ABT.UK,ABBOTT LABORATORIES
ABTU.UK,AQUABOUNTY TECHNOLOGIES
ABTX.UK,AQUA BOUNTY TECHNOLOGIES
ABZA.UK,ABZENA
ACA.UK,ACACIA MINING
ACC.UK,ACCESS INTELLIGENCE
ACD.UK,ACENCIA DEBT STRATEGIES
ACE.UK,AUHUA CLEAN ENERGY
ACHL.UK,ASIAN CITRUS HOLDINGS
ACHP.UK,ASIA CERAMICS HOLDINGS
ACL.UK,ACAL
ACO.UK,ACORN MINERALS
ACP.UK,ARMADALE CAPITAL
ACSO.UK,ACCESSO TECHNOLOGY GROUP
ACT.UK,ACTUAL EXPERIENCE
ADA.UK,ADAMS
ADAM.UK,ADAMAS FINANCE ASIA
ADGO.UK,ADGORITHMS
ADL.UK,ANDALAS ENERGY AND POWER
ADM.UK,ADMIRAL GROUP
ADMF.UK,ADVANCE DEVELOPING MARKETS FUND
ADN.UK,ABERDEEN ASSET MANAGEMENT
ADSS.UK,ATLAS DEVELOPMENT & SUPPORT SERVICES
ADT.UK,ADEPT TELECOM
AEC.UK,AEC EDUCATION
AEFS.UK,ALCENTRA EUROPEAN FLOATING RATE INCOME FUND
AEG.UK,ACTIVE ENERGY GROUP
AEN.UK,ANDES ENERGIA
AEO.UK,AEOREMA COMMUNICATIONS
AEP.UK,ANGLO-EASTERN PLANTATIONS
AERL.UK,AER LINGUS GROUP
AERO.UK,STRAT AERO
AEWU.UK,AEW UK REIT
AEX.UK,AMINEX
AEY.UK,ANTRIM ENERGY
AFC.UK,AFC ENERGY
AFG.UK,AQUATIC FOODS GROUP
AFHP.UK,AFH FINANCIAL GROUP
AFMF.UK,ADVANCE FRONTIER MARKETS FUND
AFN.UK,ADVFN
AFPO.UK,AFRICAN POTASH
AFR.UK,AFREN
AFRB.UK,AFI DEVELOPMENT
AFRI.UK,AFRIAG
AFRK.UK,AFARAK GROUP OYJ
AFS.UK,AMIAD WATER SYSTEMS
AGA.UK,AGA RANGEMASTER GROUP
AGCG.UK,SOCIETE GENERALE EFFEKTEN GMBH
AGGS.UK,IPATH S&P GSCI AGRICULTURE INDEX TR ETN
AGIT.UK,ABERFORTH GEARED INCOME TRUST
AGIZ.UK,ABERFORTH GEARED INCOME TRUST
AGK.UK,AGGREKO
AGL.UK,ANGLE
AGM.UK,APPLIED GRAPHENE MATERIALS
AGOL.UK,ASHMORE GLOBAL OPPORTUNITIES
AGOU.UK,ASHMORE GLOBAL OPPORTUNITIES
AGP.UK,ASIAN GROWTH PROPERTIES
AGQ.UK,ARIAN SILVER
AGR.UK,ASSURA
AGRG.UK,UBS ETC AGRICULTURE GBP
AGRY.UK,UBS
AGTA.UK,AGRITERRA
AGY.UK,ALLERGY THERAPEUTICS
AHCG.UK,ACTION HOTELS
AHT.UK,ASHTEAD GROUP
AIA.UK,ALTIN
AIE.UK,ANITE
AIEA.UK,AIREA
AIF.UK,ACORN INCOME FUND
AIFZ.UK,ACORN INCOME FUND
AIR.UK,AIR PARTNER
AIRC.UK,AIR CHINA LD
AJG.UK,ATLANTIS JAPAN GROWTH FUND
AJIT.UK,ABERDEEN JAPAN INVESTMENT TRUST
AKR.UK,AKERS BIOSCIENCES
ALAI.UK,ABERDEEN LATIN AMERICAN INCOME FUND
ALAS.UK,ABERDEEN LATIN AMERICAN INCOME FUND
ALBA.UK,ALBA MINERAL RESOURCES
ALD.UK,ALDERMORE GROUP
ALF.UK,ALTERNATIVE LIQUIDITY FUND
ALK.UK,ALKANE ENERGY
ALLG.UK,ALL LEISURE GROUP
ALM.UK,ALLIED MINDS
ALNT.UK,ALENT
ALO.UK,ALECTO MINERALS
ALPH.UK,ALPHA PYRENEES TRUST
ALT.UK,ALTITUDE GROUP
ALU.UK,ALUMASC GROUP
ALUE.UK,UBS ETC ALUMINUM EUR
ALUG.UK,UBS ETC ALUMINUM GBP
ALUU.UK,UBS ETC ALUMINUM USD
ALY.UK,LAURA ASHLEY HOLDINGS
AMA.UK,AMARA MINING
AMBR.UK,AMBRIAN
AMC.UK,AMUR MINERALS
AMED.UK,AMEDEO RESOURCES
AMER.UK,AMERISUR RESOURCES
AMFW.UK,AMEC FOSTER WHEELER
AML.UK,AMLIN
AMO.UK,AMINO TECHNOLOGIES
AMP.UK,AMPHION INNOVATIONS
AMPH.UK,AGGREGATED MICRO POWER HOLDINGS
AMR.UK,ARMOUR GROUP
AMS.UK,ADVANCED MEDICAL SOLUTIONS GROUP
ANA.UK,ALL NIPPON AIRWAYS LD
ANCR.UK,ANIMALCARE GROUP
ANH.UK,AL NOOR HOSPITALS GROUP
ANP.UK,ANPARIO
ANR.UK,ALTONA ENERGY
ANTO.UK,ANTOFAGASTA
ANW.UK,ABERDEEN NEW THAI INVESTMENT TRUST
AN_.UK,ALTERNATIVE NETWORKS
AOF.UK,AFRICA OPPORTUNITY FUND
AOFC.UK,AFRICA OPPORTUNITY FUND
AOR.UK,AORTECH INT
AO_.UK,AO WORLD
APAX.UK,APAX GLOBAL ALPHA
APC.UK,APC TECHNOLOGY GROUP
APEF.UK,ABERDEEN PRIVATE EQUITY FUND
APF.UK,ANGLO PACIFIC GROUP
APGN.UK,APPLEGREEN
APH.UK,ALLIANCE PHARMA
APR.UK,APR ENERGY
APT.UK,AXA PROPERTY TRUST
AQP.UK,AQUARIUS PLATINUM
ARBB.UK,ARBUTHNOT BANKING GROUP
ARC.UK,ARCONTECH GROUP
ARCH.UK,ARC CAPITAL HOLDINGS
ARDN.UK,ARDEN PARTNERS
ARG.UK,ARGOS RESOURCES
ARGO.UK,ARGO GROUP
ARGP.UK,ALPHA RETURNS GROUP
ARL.UK,ATLANTIS RESOURCES
ARM.UK,ARM HOLDINGS
ARMS.UK,BUMI
ARO.UK,ARRICANO REAL ESTATE
ARR.UK,AURORA INVESTMENT TRUST
ARS.UK,ASIAMET RESOURCES
ARTA.UK,ARTILIUM
ARTL.UK,ALPHA REAL TRUST
ARW.UK,ARROW GLOBAL GROUP
ASA.UK,ASA RESOURCE GROUP
ASBE.UK,ASSOCIATED BRITISH ENGINEERING
ASC.UK,ASOS
ASCH.UK,ABERDEEN SMALLER COMPANIES HIGH INCOME TRUST
ASH.UK,ASHLEY HOUSE
ASHM.UK,ASHMORE GROUP
ASL.UK,ABERFORTH SMALLER COMPANIES TRUST
ASPL.UK,ASEANA PROPERTIES
AST.UK,ASCENT RESOURCES
ASTO.UK,ASSETCO
ASY.UK,ANDREWS SYKES GROUP
AT2.UK,AMATI VCT 2
ATC.UK,ATLANTIC COAL
ATI.UK,AMATI VCT
ATIA.UK,ATIA GROUP LD
ATK.UK,WS ATKINS
ATMA.UK,ATLAS MARA
ATQT.UK,ATTRAQT GROUP
ATR.UK,ASIAN TR INVESTMENT
ATS.UK,ARTEMIS ALPHA TRUST
ATSS.UK,ARTEMIS ALPHA TRUST
