ADS.DE,ADIDAS
ALV.DE,ALLIANZ VNA
BAS.DE,BASF
BAYN.DE,BAYER
BEI.DE,BEIERSDORF
BMW.DE,BAY MOTOREN WERKE ST
CBK.DE,COMMERZBANK
CON.DE,CONTINENTAL
DAI.DE,DAIMLER
DB1.DE,DEUTSCHE BOERSE
DBK.DE,DEUTSCHE BANK
DPW.DE,DEUTSCHE POST
DTE.DE,DT TELEKOM
EOAN.DE,E ON
FME.DE,FRESEN MED CARE KGAA
FRE.DE,FRESENIUS + CO KGAA
HEI.DE,HEIDELBERGCEMENT
HEN3.DE,HENKEL + CO KGAA VZO
IFX.DE,INFINEON TECH
LHA.DE,LUFTHANSA VNA
LIN.DE,LINDE
MRK.DE,MERCK KGAA
MUV2.DE,MUENCH RUECKVERS VNA
RWE.DE,RWE ST
SAP.DE,SAP
SDF.DE,K + S
SIE.DE,SIEMENS
TKA.DE,THYSSENKRUPP
VNA.DE,VONOVIA
VOW3.DE,VOLKSWAGEN VZO
