1332.JP,NIPPON SUISAN KAISHA
1333.JP,MARUHA NICHIRO
1605.JP,INPEX
1721.JP,COMSYS HOLDINGS
1801.JP,TAISEI
1802.JP,OBAYASHI
1803.JP,SHIMIZU
1808.JP,HASEKO
1812.JP,KAJIMA
1925.JP,DAIWA HOUSE INDUSTRY
1928.JP,SEKISUI HOUSE
1963.JP,JGC
2002.JP,NISSHIN SEIFUN GROUP
2269.JP,MEIJI HOLDINGS
2282.JP,NH FOODS
2432.JP,DENA
2501.JP,SAPPORO HOLDINGS
2502.JP,ASAHI GROUP HOLDINGS
2503.JP,KIRIN HOLDINGS COMPANY
2531.JP,TAKARA HOLDINGS
2768.JP,SOJITZ
2801.JP,KIKKOMAN
2802.JP,AJINOMOTO
2871.JP,NICHIREI
2914.JP,JAPAN TOBACCO
3086.JP,J FRONT RETAILING
3099.JP,ISETAN MITSUKOSHI HOLDINGS
3101.JP,TOYOBO
3103.JP,UNITIKA
3105.JP,NISSHINBO HOLDINGS
3289.JP,TOKYU FUDOSAN HOLDINGS
3382.JP,SEVEN I HOLDINGS
3401.JP,TEIJIN
3402.JP,TORAY INDUSTRIES
3405.JP,KURARAY
3407.JP,ASAHI KASEI
3436.JP,SUMCO
3861.JP,OJI HOLDINGS
3863.JP,NIPPON PAPER INDUSTRIES
3865.JP,HOKUETSU KISHU PAPER
4004.JP,SHOWA DENKO
4005.JP,SUMITOMO CHEMICAL COMPANY
4021.JP,NISSAN CHEMICAL INDUSTRIES
4041.JP,NIPPON SODA
4042.JP,TOSOH
4043.JP,TOKUYAMA
4061.JP,DENKA COMPANY
4063.JP,SHIN ETSU CHEMICAL
4151.JP,KYOWA HAKKO KIRIN
4183.JP,MITSUI CHEMICALS
4188.JP,MITSUBISHI CHEMICAL HOLDINGS
4208.JP,UBE INDUSTRIES
4272.JP,NIPPON KAYAKU
4324.JP,DENTSU
4452.JP,KAO
4502.JP,TAKEDA PHARMACEUTICAL COMPANY
4503.JP,ASTELLAS PHARMA
4506.JP,SUMITOMO DAINIPPON PHARMA
4507.JP,SHIONOGI
4519.JP,CHUGAI PHARMACEUTICAL
4523.JP,EISAI
4543.JP,TERUMO
