AAL.UK,ANGLO AMERICAN
ABF.UK,ASSOCIATED BRITISH FOODS
ADM.UK,ADMIRAL GROUP
ADN.UK,ABERDEEN ASSET MANAGEMENT
AHT.UK,ASHTEAD GROUP
ANTO.UK,ANTOFAGASTA
ARM.UK,ARM HOLDINGS
AV_.UK,AVIVA
AZN.UK,ASTRAZENECA
BAB.UK,BABCOCK INT GROUP
BARC.UK,BARCLAYS
BATS.UK,BRITISH AMERICAN TOBACCO
BA_.UK,BAE SYSTEMS
BDEV.UK,BARRATT DEVELOPMENTS
BG_.UK,BG GROUP
BKG.UK,BERKELEY GROUP HOLDINGS
BLND.UK,BRITISH LAND COMPANY
BLT.UK,BHP BILLITON
BNZL.UK,BUNZL
BP_.UK,BP
BRBY.UK,BURBERRY GROUP
BT_A.UK,BT GROUP
CCH.UK,COCA-COLA HBC
CCL.UK,CARNIVAL
CNA.UK,CENTRICA
CPG.UK,COMPASS GROUP
CPI.UK,CAPITA
CRH.UK,CRH
DC_.UK,DIXONS CARPHONE
DGE.UK,DIAGEO
DLG.UK,DIRECT LINE INSURANCE GROUP
EXPN.UK,EXPERIAN
EZJ.UK,EASYJET
FRES.UK,FRESNILLO
GFS.UK,G4S
GKN.UK,GKN
GLEN.UK,GLENCORE
GSK.UK,GLAXOSMITHKLINE
HIK.UK,HIKMA PHARMACEUTICALS
HL_.UK,HARGREAVES LANSDOWN
HMSO.UK,HAMMERSON
HSBA.UK,HSBC HOLDINGS
IAG.UK,INT CONSOLIDATED AIRLINES GROUP
IHG.UK,INTERCONTINENTAL HOTELS GROUP
III.UK,3I GROUP
IMT.UK,IMPERIAL TOBACCO GROUP
INTU.UK,INTU PROPERTIES
ISAT.UK,INMARSAT
ITRK.UK,INTERTEK GROUP
ITV.UK,ITV
JMAT.UK,JOHNSON MATTHEY
KGF.UK,KINGFISHER
LAND.UK,LAND SECURITIES GROUP
LGEN.UK,LEGAL & GENERAL GROUP
LLOY.UK,LLOYDS BANKING GROUP
LSE.UK,LONDON STOCK EXCHANGE GROUP
MERL.UK,MERLIN ENTERTAINMENTS
MGGT.UK,MEGGITT
MKS.UK,MARKS & SPENCER GROUP
MNDI.UK,MONDI
MRW.UK,WM MORRISON SUPERMARKETS
NG_.UK,NATIONAL GRID
NXT.UK,NEXT
OML.UK,OLD MUTUAL
PRU.UK,PRUDENTIAL
PSN.UK,PERSIMMON
PSON.UK,PEARSON
RBS.UK,ROYAL BANK OF SCOTLAND GROUP
RB_.UK,RECKITT BENCKISER GROUP
RDSA.UK,ROYAL DUTCH SHELL
RDSB.UK,ROYAL DUTCH SHELL
REL.UK,RELX
RIO.UK,RIO TINTO
RMG.UK,ROYAL MAIL
RRS.UK,RANDGOLD RESOURCES
RR_.UK,ROLLS-ROYCE HOLDINGS
RSA.UK,RSA INSURANCE GROUP
SAB.UK,SABMILLER
SBRY.UK,J SAINSBURY
SDR.UK,SCHRODERS
SGE.UK,SAGE GROUP
SHP.UK,SHIRE
SKY.UK,SKY
SL_.UK,STANDARD LIFE
SMIN.UK,SMITHS GROUP
SN_.UK,SMITH & NEPHEW
SPD.UK,SPORTS DIRECT INT
SSE.UK,SSE
STAN.UK,STANDARD CHARTERED
STJ.UK,ST JAMES'S PLACE
SVT.UK,SEVERN TRENT
TPK.UK,TRAVIS PERKINS
TSCO.UK,TESCO
TUI.UK,TUI
TW_.UK,TAYLOR WIMPEY
ULVR.UK,UNILEVER
UU_.UK,UNITED UTILITIES GROUP
VOD.UK,VODAFONE GROUP
WOS.UK,WOLSELEY
WPP.UK,WPP
WTB.UK,WHITBREAD
