AAPL.US,APPLE
AXP.US,AMERICAN EXPRESS
BA.US,BOEING COMPANY
CAT.US,CATERPILLAR
CSCO.US,CISCO SYSTEMS
CVX.US,CHEVRON
DD.US,EI DU PONT DE NEMOURS
DIS.US,WALT DISNEY COMPANY
GE.US,GENERAL ELECTRIC
GS.US,GOLDMAN SACHS GROUP
HD.US,HOME DEPOT
IBM.US,INT BUSINESS MACHINES
INTC.US,INTEL
JNJ.US,JOHNSON & JOHNSON
JPM.US,JPMORGAN CHASE
KO.US,COCA-COLA COMPANY
MCD.US,MCDONALD'S
MMM.US,3M
MRK.US,MERCK
MSFT.US,MICROSOFT
NKE.US,NIKE
PFE.US,PFIZER
PG.US,PROCTER & GAMBLE COMPANY
TRV.US,THE TRAVELERS COMPANIES
UNH.US,UNITEDHEALTH GROUP
UTX.US,UNITED TECHNOLOGIES
V.US,VISA
VZ.US,VERIZON COMMUNICATIONS
WMT.US,WAL-MART STORES
XOM.US,EXXON MOBIL
