A.US,AGILENT TECHNOLOGIES
AA.US,ALCOA
AAPL.US,APPLE
ABBV.US,ABBVIE
ABT.US,ABBOTT LABORATORIES
ACE.US,ACE
ACN.US,ACCENTURE
ADBE.US,ADOBE SYSTEMS
ADM.US,ARCHER-DANIELS-MIDLAND
ADP.US,AUTOMATIC DATA PROCESSING
ADSK.US,AUTODESK
ADT.US,ADT
AES.US,THE AES
AET.US,AETNA
AFL.US,AFLAC
AIV.US,APARTMENT INVESTMENT & MANAGEMENT
AIZ.US,ASSURANT
AKAM.US,AKAMAI TECHNOLOGIES
AMAT.US,APPLIED MATERIALS
AME.US,AMETEK
AMG.US,AFFILIATED MANAGERS GROUP
AN.US,AUTONATION
ANTM.US,ANTHEM
AON.US,AON
APA.US,APACHE
APD.US,AIR PRODUCTS & CHEMICALS
ARG.US,AIRGAS
AVB.US,AVALONBAY COMMUNITIES
AVGO.US,AVAGO TECHNOLOGIES
AVP.US,AVON PRODUCTS
AVY.US,AVERY DENNISON
AZO.US,AUTOZONE
BA.US,BOEING COMPANY
BAC.US,BANK OF AMERICA
BAX.US,BAXTER INT
BBBY.US,BED BATH & BEYOND
BBT.US,BB&T
BBY.US,BEST BUY
BCR.US,CR BARD
BDX.US,BECTON DICKINSON AND
BEN.US,FRANKLIN RESOURCES
BF-B.US,BROWN-FORMAN CORPORATION CLASS
BHI.US,BAKER HUGHES
BIIB.US,BIOGEN
BK.US,BANK OF NEW YORK MELLON
BLK.US,BLACKROCK
BLL.US,BALL
BMY.US,BRISTOL-MYERS SQUIBB
BRCM.US,BROADCOM
BRK-B.US,BERKSHIRE HATHAWAY CLASS B
BSX.US,BOSTON SCIENTIFIC
BWA.US,BORGWARNER
BXP.US,BOSTON PROPERTIES
C.US,CITIGROUP
CA.US,CA
CAG.US,CONAGRA FOODS
CAH.US,CARDINAL HEALTH
CAM.US,CAMERON INT
CAT.US,CATERPILLAR
CB.US,CHUBB
CBG.US,CBRE GROUP
CBS.US,CBS
CCE.US,COCA-COLA ENTERPRISES
CCI.US,CROWN CASTLE INT
CCL.US,CARNIVAL
CELG.US,CELGENE
CERN.US,CERNER
CF.US,CF INDUSTRIES HOLDINGS
CHK.US,CHESAPEAKE ENERGY
CHRW.US,CH ROBINSON WORLDWIDE
CI.US,CIGNA
CINF.US,CINCINNATI FINANCIAL
CL.US,COLGATE-PALMOLIVE
CLX.US,CLOROX COMPANY
CMA.US,COMERICA
CMCSA.US,COMCAST
CME.US,CME GROUP
CMG.US,CHIPOTLE MEXICAN GRILL
CMI.US,CUMMINS
CMS.US,CMS ENERGY
CNP.US,CENTERPOINT ENERGY
CNX.US,CONSOL ENERGY
COF.US,CAPITAL ONE FINANCIAL
COG.US,CABOT OIL & GAS
COH.US,COACH
COL.US,ROCKWELL COLLINS
COP.US,CONOCOPHILLIPS
COST.US,COSTCO WHOLESALE
CPB.US,CAMPBELL SOUP
CRM.US,SALESFORCE.COM
CSC.US,COMPUTER SCIENCES
CSCO.US,CISCO SYSTEMS
CSX.US,CSX
CTAS.US,CINTAS
CTL.US,CENTURYLINK
CTSH.US,COGNIZANT TECHNOLOGY SOLUTIONS
CTXS.US,CITRIX SYSTEMS
CVC.US,CABLEVISION SYSTEMS
CVS.US,CVS HEALTH
CVX.US,CHEVRON
D.US,DOMINION RESOURCES
DAL.US,DELTA AIR LINES
DD.US,EI DU PONT DE NEMOURS
DE.US,DEERE
DFS.US,DISCOVER FINANCIAL SERVICES
DG.US,DOLLAR GENERAL
DGX.US,QUEST DIAGNOSTICS
DHI.US,DR HORTON
DHR.US,DANAHER
DIS.US,WALT DISNEY COMPANY
DISCA.US,DISCOVERY COMMUNICATIONS
DISCK.US,DISCOVERY COMMUNICATIONS
DLPH.US,DELPHI AUTOMOTIVE
DLTR.US,DOLLAR TREE
DNB.US,DUN & BRADSTREET
DNR.US,DENBURY RESOURCES
DO.US,DIAMOND OFFSHORE DRILLING
DOV.US,DOVER
DOW.US,DOW CHEMICAL COMPANY
DPS.US,DR PEPPER SNAPPLE GROUP
DRI.US,DARDEN RESTAURANTS
DTE.US,DTE ENERGY
DUK.US,DUKE ENERGY
DVA.US,DAVITA HEALTHCARE PARTNERS
DVN.US,DEVON ENERGY
EBAY.US,EBAY
ECL.US,ECOLAB
ED.US,CONSOLIDATED EDISON
EFX.US,EQUIFAX
EIX.US,EDISON INT
EL.US,ESTEE LAUDER COMPANIES
EMC.US,EMC
EMN.US,EASTMAN CHEMICAL
EMR.US,EMERSON ELECTRIC
EOG.US,EOG RESOURCES
EQR.US,EQUITY RESIDENTIAL
EQT.US,EQT
ESRX.US,EXPRESS SCRIPTS HOLDING
ESS.US,ESSEX PROPERTY TRUST
ESV.US,ENSCO
ETFC.US,E*TRADE FINANCIAL
ETN.US,EATON
ETR.US,ENTERGY
EW.US,EDWARDS LIFESCIENCES
EXC.US,EXELON
EXPD.US,EXPEDITORS INT OF WASHINGTON
EXPE.US,EXPEDIA
F.US,FORD MOTOR
FAST.US,FASTENAL
FB.US,FACEBOOK
FCX.US,FREEPORT-MCMORAN
FDX.US,FEDEX
FE.US,FIRSTENERGY
FFIV.US,F5 NETWORKS
FIS.US,FIDELITY NATIONAL INFORMATION SERVICES
FISV.US,FISERV
FITB.US,FIFTH THIRD BANCORP
FLIR.US,FLIR SYSTEMS
FLR.US,FLUOR
FLS.US,FLOWSERVE
FMC.US,FMC
FOSL.US,FOSSIL GROUP
FOXA.US,TWENTY-FIRST CENTURY FOX
FSLR.US,FIRST SOLAR
FTI.US,FMC TECHNOLOGIES
FTR.US,FRONTIER COMMUNICATIONS
GAS.US,AGL RESOURCES
GCI.US,GANNETT
GD.US,GENERAL DYNAMICS
GE.US,GENERAL ELECTRIC
GGP.US,GENERAL GROWTH PROPERTIES
GILD.US,GILEAD SCIENCES
GIS.US,GENERAL MILLS
GLW.US,CORNING
GM.US,GENERAL MOTORS
GMCR.US,KEURIG GREEN MOUNTAIN
GME.US,GAMESTOP
GNW.US,GENWORTH FINANCIAL
GOOG.US,ALPHABET
GOOGL.US,ALPHABET
GPC.US,GENUINE PARTS
GPS.US,GAP
GRMN.US,GARMIN
GS.US,GOLDMAN SACHS GROUP
GT.US,THE GOODYEAR TIRE & RUBBER COMPANY
GWW.US,WW GRAINGER
HAL.US,HALLIBURTON
HAR.US,HARMAN INT INDUSTRIES
HAS.US,HASBRO
HBAN.US,HUNTINGTON BANCSHARES INCORPORATED
HCN.US,WELLTOWER
HCP.US,HCP
HD.US,HOME DEPOT
HES.US,HESS
HIG.US,HARTFORD FINANCIAL SERVICES GROUP
HOG.US,HARLEY-DAVIDSON
HON.US,HONEYWELL INT
HOT.US,STARWOOD HOTELS & RESORTS WORLDWIDE
HP.US,HELMERICH & PAYNE
HPQ.US,HP
HRB.US,H&R BLOCK
HRL.US,HORMEL FOODS
HRS.US,HARRIS
HST.US,HOST HOTELS & RESORTS
HSY.US,HERSHEY COMPANY
HUM.US,HUMANA
IBM.US,INT BUSINESS MACHINES
ICE.US,INTERCONTINENTAL EXCHANGE
IFF.US,INT FLAVORS & FRAGRANCES
INTC.US,INTEL
INTU.US,INTUIT
IP.US,INT PAPER
IPG.US,INTERPUBLIC GROUP OF COMPANIES
IR.US,INGERSOLL-RAND
IRM.US,IRON MOUNTAIN
ISRG.US,INTUITIVE SURGICAL
ITW.US,ILLINOIS TOOL WORKS
IVZ.US,INVESCO
JCI.US,JOHNSON CONTROLS
JEC.US,JACOBS ENGINEERING GROUP
JNJ.US,JOHNSON & JOHNSON
JNPR.US,JUNIPER NETWORKS
JOY.US,JOY GLOBAL
JPM.US,JPMORGAN CHASE
JWN.US,NORDSTROM
K.US,KELLOGG
KEY.US,KEYCORP
KIM.US,KIMCO REALTY
KLAC.US,KLA-TENCOR
KMB.US,KIMBERLY-CLARK
KMI.US,KINDER MORGAN
KMX.US,CARMAX
KO.US,COCA-COLA COMPANY
KORS.US,MICHAEL KORS HOLDINGS
KR.US,KROGER COMPANY
KSS.US,KOHL'S
KSU.US,KANSAS CITY SOUTHERN
L.US,LOEWS
LEG.US,LEGGETT & PLATT
LEN.US,LENNAR
LH.US,LABORATORY OF AMERICA HOLDINGS
LLL.US,L-3 COMMUNICATIONS HOLDINGS
LLTC.US,LINEAR TECHNOLOGY
LLY.US,ELI LILLY
LM.US,LEGG MASON
LMT.US,LOCKHEED MARTIN
LNC.US,LINCOLN NATIONAL
LOW.US,LOWE'S COS
LRCX.US,LAM RESEARCH
LUK.US,LEUCADIA NATIONAL
LUV.US,SOUTHWEST AIRLINES
LVLT.US,LEVEL 3 COMMUNICATIONS
LYB.US,LYONDELLBASELL INDUSTRIES
M.US,MACY'S
MA.US,MASTERCARD
MAC.US,MACERICH COMPANY
MAS.US,MASCO
MAT.US,MATTEL
MCD.US,MCDONALD'S
MCHP.US,MICROCHIP TECHNOLOGY
MCK.US,MCKESSON
MCO.US,MOODY'S
MDLZ.US,MONDELEZ INT
MDT.US,MEDTRONIC
MET.US,METLIFE
MHFI.US,MCGRAW HILL FINANCIAL
MHK.US,MOHAWK INDUSTRIES
MJN.US,MEAD JOHNSON NUTRITION
MKC.US,MCCORMICK & COMPANY, INCORPORATED
MLM.US,MARTIN MARIETTA MATERIALS
MMC.US,MARSH & MCLENNAN COS
MMM.US,3M
MNK.US,MALLINCKRODT
MNST.US,MONSTER BEVERAGE
MON.US,MONSANTO
MOS.US,MOSAIC COMPANY
MPC.US,MARATHON PETROLEUM
MRK.US,MERCK
MRO.US,MARATHON OIL
MS.US,MORGAN STANLEY
MSFT.US,MICROSOFT
MSI.US,MOTOROLA SOLUTIONS
MTB.US,M&T BANK
MU.US,MICRON TECHNOLOGY
MUR.US,MURPHY OIL
MYL.US,MYLAN
NAVI.US,NAVIENT
NBL.US,NOBLE ENERGY
NBR.US,NABORS INDUSTRIES
NDAQ.US,NASDAQ
NE.US,NOBLE
NEE.US,NEXTERA ENERGY
NEM.US,NEWMONT MINING
NFLX.US,NETFLIX
NFX.US,NEWFIELD EXPLORATION
NI.US,NISOURCE
NKE.US,NIKE
NLSN.US,NIELSEN HOLDINGS
NOC.US,NORTHROP GRUMMAN
NOV.US,NATIONAL OILWELL VARCO
NRG.US,NRG ENERGY
NSC.US,NORFOLK SOUTHERN
NTAP.US,NETAPP
NTRS.US,NORTHERN TRUST
NUE.US,NUCOR
NVDA.US,NVIDIA
NWL.US,NEWELL RUBBERMAID
NWSA.US,NEWS
OI.US,OWENS-ILLINOIS
OKE.US,ONEOK
OMC.US,OMNICOM GROUP
ORCL.US,ORACLE
ORLY.US,O'REILLY AUTOMOTIVE
OXY.US,OCCIDENTAL PETROLEUM
PAYX.US,PAYCHEX
PBCT.US,PEOPLE'S UNITED FINANCIAL
PBI.US,PITNEY BOWES
PCAR.US,PACCAR
PCG.US,PG&E
PCL.US,PLUM CREEK TIMBER
PCLN.US,THE PRICELINE GROUP
PCP.US,PRECISION CASTPARTS
PDCO.US,PATTERSON COS
PEG.US,PUBLIC SERVICE ENTERPRISE GROUP
PEP.US,PEPSICO
PFE.US,PFIZER
PFG.US,PRINCIPAL FINANCIAL GROUP
PG.US,PROCTER & GAMBLE COMPANY
PGR.US,PROGRESSIVE
PH.US,PARKER-HANNIFIN
PHM.US,PULTEGROUP
PKI.US,PERKINELMER
PLD.US,PROLOGIS
PM.US,PHILIP MORRIS INT
PNC.US,PNC FINANCIAL SERVICES GROUP
PNR.US,PENTAIR
PNW.US,PINNACLE WEST CAPITAL
POM.US,PEPCO HOLDINGS
PPG.US,PPG INDUSTRIES
PPL.US,PPL
PRGO.US,PERRIGO
PRU.US,PRUDENTIAL FINANCIAL
PSA.US,PUBLIC STORAGE
PSX.US,PHILLIPS 66
PVH.US,PVH
PWR.US,QUANTA SERVICES
PX.US,PRAXAIR
PXD.US,PIONEER NATURAL RESOURCES
QCOM.US,QUALCOMM
QEP.US,QEP RESOURCES
R.US,RYDER SYSTEM
RAI.US,REYNOLDS AMERICAN
RCL.US,ROYAL CARIBBEAN CRUISES
REGN.US,REGENERON PHARMACEUTICALS
RF.US,REGIONS FINANCIAL
RHI.US,ROBERT HALF INT
RHT.US,RED HAT
RIG.US,TRANSOCEAN
RL.US,RALPH LAUREN
ROK.US,ROCKWELL AUTOMATION
ROP.US,ROPER TECHNOLOGIES
ROST.US,ROSS STORES
RRC.US,RANGE RESOURCES
RSG.US,REPUBLIC SERVICES
RTN.US,RAYTHEON
SBUX.US,STARBUCKS
SCG.US,SCANA
SCHW.US,THE CHARLES SCHWAB
SE.US,SPECTRA ENERGY
SEE.US,SEALED AIR
SHW.US,SHERWIN-WILLIAMS COMPANY
SIAL.US,SIGMA-ALDRICH
SJM.US,J.M. SMUCKER COMPANY
SLB.US,SCHLUMBERGER
SNA.US,SNAP-ON
SNDK.US,SANDISK
SNI.US,SCRIPPS NETWORKS INTERACTIVE
SO.US,SOUTHERN COMPANY
SPG.US,SIMON PROPERTY GROUP
SPLS.US,STAPLES
SRCL.US,STERICYCLE
SRE.US,SEMPRA ENERGY
STI.US,SUNTRUST BANKS
STJ.US,ST JUDE MEDICAL
STT.US,STATE STREET
STX.US,SEAGATE TECHNOLOGY
STZ.US,CONSTELLATION BRANDS
SWK.US,STANLEY BLACK & DECKER
SWN.US,SOUTHWESTERN ENERGY
SYK.US,STRYKER
SYMC.US,SYMANTEC
SYY.US,SYSCO
T.US,AT&T
TAP.US,MOLSON COORS BREWING
TDC.US,TERADATA
TE.US,TECO ENERGY
TEL.US,TE CONNECTIVITY
TGT.US,TARGET
THC.US,TENET HEALTHCARE
TIF.US,TIFFANY
TJX.US,TJX COMPANIES
TMK.US,TORCHMARK
TMO.US,THERMO FISHER SCIENTIFIC
TRIP.US,TRIPADVISOR
TROW.US,T ROWE PRICE GROUP
TRV.US,THE TRAVELERS COMPANIES
TSCO.US,TRACTOR SUPPLY
TSN.US,TYSON FOODS
TSO.US,TESORO
