AAAP.US,ADVANCED ACCELERATOR APPLICATIONS
AAL.US,AMERICAN AIRLINES GROUP
AAME.US,ATLANTIC AMERICAN
AAOI.US,APPLIED OPTOELECTRONICS
AAON.US,AAON
AAPC.US,ATLANTIC ALLIANCE PARTNERSHIP
AAPL.US,APPLE
AAVL.US,AVALANCHE BIOTECHNOLOGIES
AAWW.US,ATLAS AIR WORLDWIDE HOLDINGS
AAXJ.US,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF
ABAC.US,AOXIN TIANLI GROUP
ABAX.US,ABAXIS
ABCB.US,AMERIS BANCORP
ABCD.US,CAMBIUM LEARNING GROUP
ABCO.US,THE ADVISORY BOARD COMPANY
ABCW.US,ANCHOR BANCORP WISCONSIN
ABDC.US,ALCENTRA CAPITAL
ABEO.US,ABEONA THERAPEUTICS
ABEOW.US,ABEONA THERAPEUTICS
ABGB.US,ABENGOA
ABIO.US,ARCA BIOPHARMA
ABMD.US,ABIOMED
ABTL.US,AUTOBYTEL
ABTX.US,ALLEGIANCE BANCSHARES
ABUS.US,ARBUTUS BIOPHARMA
ABY.US,ABENGOA YIELD
ACAD.US,ACADIA PHARMACEUTICALS
ACAS.US,AMERICAN CAPITAL
ACAT.US,ARCTIC CAT
ACBI.US,ATLANTIC CAPITAL BANCSHARES
ACET.US,ACETO
ACFC.US,ATLANTIC COAST FINANCIAL
ACFN.US,ACORN ENERGY
ACGL.US,ARCH CAPITAL GROUP
ACHC.US,ACADIA HEALTHCARE
ACHN.US,ACHILLION PHARMACEUTICALS
ACIW.US,ACI WORLDWIDE
ACLS.US,AXCELIS TECHNOLOGIES
ACNB.US,ACNB
ACOR.US,ACORDA THERAPEUTICS
ACPW.US,ACTIVE POWER
ACRS.US,ACLARIS THERAPEUTICS
ACRX.US,ACELRX PHARMACEUTICALS
ACSF.US,AMERICAN CAPITAL SENIOR FLOATING
ACST.US,ACASTI PHARMA
ACTA.US,ACTUA
ACTG.US,ACACIA RESEARCH
ACTS.US,ACTIONS SEMICONDUCTOR
ACTX.US,GLOBAL X GURU ACTIVIST ETF
ACUR.US,ACURA PHARMACEUTICALS
ACWI.US,ISHARES MSCI ACWI ETF
ACWX.US,ISHARES MSCI ACWI EX US ETF
ACXM.US,ACXIOM
ADAP.US,ADAPTIMMUNE THERAPEUTICS
ADAT.US,AUTHENTIDATE HOLDING
ADBE.US,ADOBE SYSTEMS
ADHD.US,ALCOBRA
ADI.US,ANALOG DEVICES
ADMA.US,ADMA BIOLOGICS
ADMP.US,ADAMIS PHARMACEUTICALS
ADMS.US,ADAMAS PHARMACEUTICALS
ADP.US,AUTOMATIC DATA PROCESSING
ADRA.US,BLDRS ASIA 50 ADR INDEX FUND
ADRD.US,BLDRS DEVELOPED MARKETS 100 ADR INDEX FUND
ADRE.US,BLDRS EMERGING MARKETS 50 ADR INDEX FUND
ADRO.US,ADURO BIOTECH
ADRU.US,BLDRS EUROPE 100 ADR INDEX FUND
ADSK.US,AUTODESK
ADTN.US,ADTRAN
ADUS.US,ADDUS HOMECARE
ADXS.US,ADVAXIS
ADXSW.US,ADVAXIS
AEGN.US,AEGION
AEGR.US,AEGERION PHARMACEUTICALS
AEHR.US,AEHR TEST SYSTEMS
AEIS.US,ADVANCED ENERGY INDUSTRIES
AEMD.US,AETHLON MEDICAL
AEPI.US,AEP INDUSTRIES
AERI.US,AERIE PHARMACEUTICALS
AETI.US,AMERICAN ELECTRIC TECHNOLOGIES
AEY.US,ADDVANTAGE TECHNOLOGIES GROUP
AEZS.US,AETERNA ZENTARIS
AFAM.US,ALMOST FAMILY
AFCB.US,ATHENS BANCSHARES
AFFX.US,AFFYMETRIX
AFH.US,ATLAS FINANCIAL HOLDINGS
AFMD.US,AFFIMED
AFOP.US,ALLIANCE FIBER OPTIC PRODUCTS
AFSI.US,AMTRUST FINANCIAL SERVICES
AGEN.US,AGENUS
AGFS.US,AGROFRESH SOLUTIONS
AGFSW.US,AGROFRESH SOLUTIONS
AGII.US,ARGO GROUP INT HOLDINGS
AGIIL.US,ARGO GROUP INT HOLDINGS
AGIO.US,AGIOS PHARMACEUTICALS
AGMX.US,AUTOGENOMICS
AGNC.US,AMERICAN CAPITAL AGENCY
AGNCB.US,AMERICAN CAPITAL AGENCY
AGNCP.US,AMERICAN CAPITAL AGENCY
AGND.US,WISDOMTREE BARCLAYS US AGGREGATE BOND NEGATIVE DURATION FUND
