AAMC.US,ALTISOURCE ASSET MANAGEMENT
AAU.US,ALMADEN MINERALS
AA_.US,ALCOA
ABE.US,ABERDEEN EMERGING MARKETS SMALLER COMPANY OPPORTUNITIES FUND
ACU.US,ACME UNITED
ACY.US,AEROCENTURY
ADGE.US,AMERICAN DG ENERGY
ADK.US,ADCARE HEALTH SYSTEMS
ADK_A.US,ADCARE HEALTH SYSTEMS
AE.US,ADAMS RESOURCES & ENERGY
AIII.US,ACRE REALTY INVESTORS
AINC.US,ASHFORD
AIRI.US,AIR INDUSTRIES GROUP
AKG.US,ASANKO GOLD
ALN.US,AMERICAN LORAIN
ALTV.US,ALTEVA
AMCO.US,ARMCO METALS HOLDINGS
AMPE.US,AMPIO PHARMACEUTICALS
AMS.US,AMERICAN SHARED HOSPITAL SERVICES
AMZGQ.US,AMERICAN EAGLE ENERGY
APHB.US,AMPLIPHI BIOSCIENCES
APT.US,ALPHA PRO TECH
ASB-WS.US,ASSOCIATED BANC-CORP WARRANTS
ASM.US,AVINO SILVER & GOLD MINES
AST.US,ASTERIAS BIOTHERAPEUTICS
ATLRF.US,ATLATSA RESOURCES
ATNM.US,ACTINIUM PHARMACEUTICALS
AUMN.US,GOLDEN MINERALS
AVL.US,AVALON RARE METALS
AWX.US,AVALON HOLDINGS
AXN.US,AOXING PHARMACEUTICAL
AXU.US,ALEXCO RESOURCE
BAA.US,BANRO
BCV.US,BANCROFT FUND
BDL.US,FLANIGAN'S ENTERPRISES
BDR.US,BLONDER TONGUE LABORATORIES
BFY.US,BLACKROCK NEW YORK MUNICIPAL INCOME TRUST II
BGI.US,BIRKS GROUP
BGSF.US,BG STAFFING
BHB.US,BAR HARBOR BANKSHARES
BHV.US,BLACKROCK VIRGINIA MUNICIPAL BOND TRUST
BKJ.US,BANCORP OF NEW JERSEY
BLE.US,BLACKROCK MUNICIPAL INCOME TRUST II
BLJ.US,BLACKROCK NEW JERSEY MUNICIPAL BOND TRUST
BPMX.US,BIOPHARMX
BRG.US,BLUEROCK RESIDENTIAL GROWTH REIT
BRG_A.US,BLUEROCK RESIDENTIAL GROWTH REIT
BRN.US,BARNWELL INDUSTRIES
BTG.US,B2GOLD
BTI.US,BRITISH AMERICAN TOBACCO
BTN.US,BALLANTYNE STRONG
BTX-WS.US,BIOTIME INC WARRANTS (EXPIRING
BTX.US,BIOTIME
BVX.US,BOVIE MEDICAL
BWL-A.US,BOWL AMERICA INCORPORATED
BZC.US,BREEZE-EASTERN
BZM.US,BLACKROCK MARYLAND MUNICIPAL BOND TRUST
CANF.US,CAN-FITE BIOPHARMA
CAW.US,CCA INDUSTRIES
CCA.US,MFS CALIFORNIA MUNICIPAL FUND
CCF.US,CHASE
CEF.US,CENTRAL FUND OF CANADA
CET.US,CENTRAL SECURITIES
CEV.US,EATON VANCE CALIFORNIA MUNICIPAL INCOME TRUST
CFD.US,NUVEEN DIVERSIFIED COMMODITY FUND
CH.US,ABERDEEN CHILE FUND
CIK.US,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND
CIX.US,COMPX INT
CKX.US,CKX LANDS
CLM.US,CORNERSTONE STRATEGIC VALUE FUND
CMT.US,CORE MOLDING TECHNOLOGIES
CNR.US,CHINA METRO-RURAL HOLDINGS
CPHI.US,CHINA PHARMA HOLDINGS
CQH.US,CHENIERE ENERGY PARTNERS HOLDINGS
CQP.US,CHENIERE ENERGY PARTNERS
CRF.US,CORNERSTONE TR FUND
CRHM.US,CRH MEDICAL
CRMD.US,CORMEDIX
CRVP.US,CRYSTAL ROCK HOLDINGS
CTF.US,NUVEEN LONG/SHORT COMMODITY TR FUND
CTO.US,CONSOLIDATED-TOMOKA LAND
CUO.US,CONTINENTAL MATERIALS
CVM-WS.US,CEL-SCI CORP SERIES S
CVM.US,CEL-SCI
CVR.US,CHICAGO RIVET & MACHINE
CVRS.US,CORINDUS VASCULAR ROBOTICS
CVSL.US,CVSL
CVU.US,CPI AEROSTRUCTURES
DAKP.US,DAKOTA PLAINS HOLDINGS
DGSE.US,DGSE COS
DHY.US,CREDIT SUISSE HIGH YIELD BOND FUND
DIT.US,AMCON DISTRIBUTING
DLA.US,DELTA APPAREL
DMF.US,DREYFUS MUNICIPAL INCOME
DNN.US,DENISON MINES
DPW.US,DIGITAL POWER
DSS.US,DOCUMENT SECURITY SYSTEMS
DXR.US,DAXOR
EAD.US,WELLS FARGO ADVANTAGE INCOME OPPORTUNITIES FUND
ECF.US,ELLSWORTH GROWTH AND INCOME FUND
EGAS.US,GAS NATURAL
EGI.US,ENTREE GOLD
EIA.US,EATON VANCE CALIFORNIA MUNICIPAL BOND FUND II
EIM.US,EATON VANCE MUNICIPAL BOND FUND
EIO.US,EATON VANCE OHIO MUNICIPAL BOND FUND
EIP.US,EATON VANCE PENNSYLVANIA MUNICIPAL BOND FUND
EIV.US,EATON VANCE MUNICIPAL BOND FUND II
ELLO.US,ELLOMAY CAPITAL
ELMD.US,ELECTROMED
EMAN.US,EMAGIN
EMI.US,EATON VANCE MICHIGAN MUNICIPAL INCOME TRUST
EMJ.US,EATON VANCE NEW JERSEY MUNICIPAL BOND FUND
EMXX.US,EURASIAN MINERALS
ENCR.US,ENER-CORE
ENRJ.US,ENERJEX RESOURCES
ENRJ_.US,ENERJEX RESOURCES
ENSV.US,ENSERVCO
ENX.US,EATON VANCE NEW YORK MUNICIPAL BOND FUND
EOX.US,EMERALD OIL
EPM.US,EVOLUTION PETROLEUM
EPM_A.US,EVOLUTION PETROLEUM
ERB.US,ERBA DIAGNOSTICS
ERC.US,WELLS FARGO ADVANTAGE MULTI-SECTOR INCOME FUND
ERH.US,WELLS FARGO ADVANTAGE UTILITIES AND HIGH INCOME FUND
ERN.US,ERIN ENERGY
ESNC.US,ENSYNC
ESP.US,ESPEY MANUFACTURING & ELECTRONICS
ESTE.US,EARTHSTONE ENERGY
ETAK.US,ELEPHANT TALK COMMUNICATIONS
EVBN.US,EVANS BANCORP
EVI.US,ENVIROSTAR
