EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1444075200,30.85,31.2,30.35,30.8,12883305
1,30.955,31.185,30.66,30.79,10963857
2,31.87,31.99,31.21,31.31,12224842
3,32.37,32.5,31.73,31.79,14245376
4,32.52,32.69,31.99,32.35,11830351
7,32.86,33.02,32.55,32.71,12580273
8,32.34,32.825,32.32,32.56,15873827
9,32.09,32.49,31.77,32.28,11282844
10,33.48,33.49,32.4,32.42,19403801
11,33.37,33.86,33.16,33.64,12498907
14,33.5,33.63,33.18,33.26,10856512
15,32.83,33.59,32.77,33.49,19349173
16,31.12,32.43,31.01,32.06,30436499
17,31.67,31.9,31.21,31.26,18501164
18,33.17,33.36,32.24,32.65,24308632
21,33.4,33.49,33,33.13,15810254
22,34.3,35.47,33.88,34.97,26380851
23,35.185,35.27,34.3,34.3,15174273
24,35.05,35.15,34.7,34.87,10796190
25,35.62,35.7,35.05,35.14,17418895
TIMEZONE_OFFSET=-300
a1446498000,35.27,35.48,35.07,35.46,15206693
1,34.72,35.34,34.65,35.15,12394280
2,35.07,35.24,34.75,34.89,17501813
3,35.12,35.3,34.16,35.02,15679054
4,34.2,35.2001,33.46,34.94,16608581
7,33.68,34.08,33.075,34.07,13645458
8,33.99,34.13,33.26,33.45,11510965
9,33.38,34.23,33.025,34.21,11806896
10,33.23,33.845,33.13,33.2,14273138
11,32.19,33.04,32.17,32.78,11063301
