EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=300
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1445866200,52.66,52.76,52.5,52.53,1297206
1,52.85,52.9,52.59,52.65,1277223
2,53.1,53.18,52.84,52.85,1255359
3,53.145,53.23,53.03,53.12,1164358
4,53.12,53.22,53.085,53.15,760526
5,53.085,53.2,53.07,53.12,806009
6,53.13,53.33,53.07,53.08,809866
7,53.14,53.21,53.06,53.15,618149
8,53.005,53.1629,52.95,53.1301,758499
9,53.01,53.02,52.98,53.0068,537748
10,53.095,53.1,53,53,812645
11,53.2164,53.305,53.0901,53.1,807169
12,53.155,53.3,53.15,53.22,573227
13,53.17,53.3,53.15,53.16,555736
14,53.195,53.2,53.13,53.17,613325
15,53.4049,53.41,53.195,53.195,1247471
16,53.51,53.54,53.4,53.4099,1269392
17,53.51,53.61,53.47,53.51,824348
18,53.56,53.56,53.45,53.515,628104
19,53.6168,53.63,53.5,53.555,482036
20,53.565,53.63,53.52,53.62,634732
21,53.67,53.68,53.56,53.57,590321
22,53.5762,53.69,53.52,53.6662,560211
23,53.58,53.61,53.47,53.58,938131
24,53.7293,53.73,53.54,53.57,776493
25,53.73,53.79,53.7,53.73,869313
26,53.715,53.75,53.67,53.74,761461
27,53.6236,53.74,53.61,53.7201,792486
28,53.47,53.63,53.4532,53.627,591042
29,53.5149,53.55,53.42,53.47,482215
30,53.505,53.55,53.47,53.5149,274987
31,53.485,53.56,53.47,53.51,427024
32,53.31,53.5,53.28,53.49,767803
33,53.445,53.47,53.3,53.32,433528
34,53.505,53.51,53.42,53.45,331602
35,53.5606,53.6,53.47,53.5,374089
36,53.6,53.65,53.56,53.569,331595
37,53.57,53.6062,53.49,53.6,416918
38,53.69,53.7,53.54,53.5628,424173
39,53.78,53.79,53.67,53.691,585982
40,53.91,53.92,53.75,53.7738,854557
41,53.91,53.98,53.85,53.91,776671
42,53.9,53.94,53.85,53.9035,733489
43,53.83,53.94,53.83,53.9051,720871
44,53.82,53.84,53.77,53.83,584150
45,53.84,53.86,53.8,53.82,403948
46,53.87,53.87,53.79,53.84,241442
47,53.87,53.91,53.85,53.86,431716
48,53.88,53.92,53.87,53.8737,342761
49,53.775,53.8899,53.75,53.8899,508245
50,53.7785,53.83,53.76,53.775,517742
51,53.7,53.79,53.68,53.775,482422
52,53.6365,53.705,53.6,53.705,645243
53,53.625,53.66,53.61,53.63,470179
54,53.585,53.625,53.57,53.62,594284
55,53.59,53.61,53.51,53.5864,450740
56,53.63,53.64,53.57,53.595,454355
57,53.59,53.62,53.58,53.62,369680
58,53.5634,53.64,53.55,53.585,610717
59,53.605,53.61,53.53,53.5699,870845
60,53.6275,53.67,53.585,53.6,424631
61,53.63,53.64,53.59,53.62,274873
62,53.605,53.66,53.6,53.63,210451
63,53.65,53.65,53.59,53.6,352663
64,53.795,53.8,53.64,53.65,553949
65,53.78,53.8,53.78,53.79,384909
66,53.78,53.79,53.73,53.785,448153
67,53.77,53.79,53.715,53.78,441990
68,53.8,53.84,53.75,53.78,669719
69,53.735,53.81,53.73,53.8,441341
70,53.785,53.83,53.72,53.73,1038497
71,53.8499,53.85,53.77,53.795,562911
72,53.92,53.95,53.82,53.85,1165575
73,53.81,53.92,53.75,53.91,953945
74,53.92,53.93,53.8,53.8,1025270
75,53.87,53.93,53.845,53.92,1010935
76,53.85,53.94,53.85,53.87,1085850
77,54.085,54.09,53.85,53.855,2483370
78,54.25,54.32,54.07,54.08,7124083
288,53.97,54.02,53.93,53.99,1044175
289,53.995,54.22,53.9,53.965,1252497
290,54.1,54.23,53.96,54,748900
291,54.035,54.2,54.03,54.1,815538
292,54.02,54.1,54,54.035,852984
293,53.935,54.03,53.83,54.01,1241578
294,54.01,54.04,53.92,53.935,1179104
295,53.99,54.02,53.91,54.005,660313
296,54.01,54.08,53.97,53.985,581903
297,53.995,54.02,53.935,54.014,726139
298,54.02,54.03,53.94,53.9949,590940
299,54.07,54.07,53.99,54.02,626065
300,54.06,54.07,54,54.07,390825
301,53.995,54.06,53.93,54.05,887066
302,53.975,54.01,53.92,54,392334
303,53.98,54.02,53.96,53.965,576828
304,54.025,54.05,53.95,53.984,451173
305,54.0199,54.08,54,54.03,423498
306,54.07,54.07,54,54.0101,346162
307,54.23,54.24,54.045,54.06,710169
308,54.255,54.27,54.19,54.23,646246
309,54.28,54.32,54.21,54.255,436108
310,54.2345,54.37,54.23,54.281,692142
311,54.0901,54.26,54.0901,54.235,638142
312,54.08,54.13,54.045,54.0937,453105
313,54.12,54.21,54.07,54.075,480517
314,54.05,54.14,54.05,54.1217,497276
315,54,54.08,53.99,54.06,464021
316,54.161,54.175,53.98,53.9994,665936
317,54.01,54.165,54.01,54.16,447193
318,53.99,54.02,53.975,54,560429
319,54,54.06,53.99,53.9937,395089
320,53.975,54.01,53.97,54.005,316760
321,53.96,53.99,53.91,53.9775,498813
322,54.025,54.03,53.93,53.96,421236
323,54.06,54.06,54.005,54.03,296553
324,54.06,54.14,54.05,54.05,384524
325,54.035,54.13,54.03,54.06,277434
326,54.07,54.07,54.02,54.03,192477
327,54.07,54.09,54.03,54.06,296091
328,54.1364,54.14,54.065,54.065,422210
329,54.07,54.14,54.045,54.13,1288145
330,54.01,54.1,54.01,54.07,303573
331,54.02,54.06,54,54.01,573806
332,53.94,54.015,53.86,54.0116,852367
333,54.005,54.07,53.935,53.94,659269
334,53.91,54.0058,53.88,54.005,609360
335,53.87,53.92,53.86,53.905,290714
336,53.87,53.88,53.82,53.87,285222
337,53.9848,54.01,53.87,53.88,538761
338,54.025,54.03,53.96,53.98,443164
339,53.97,54.06,53.96,54.025,280606
340,53.9239,53.98,53.905,53.97,317109
341,53.84,53.9251,53.82,53.9251,462745
342,53.84,53.88,53.8,53.85,272252
343,53.885,53.925,53.84,53.84,258003
344,53.865,53.91,53.84,53.88,247585
345,53.7799,53.87,53.77,53.86,309893
346,53.66,53.79,53.65,53.77,389462
347,53.64,53.67,53.58,53.665,326601
348,53.71,53.74,53.63,53.63,272321
349,53.6999,53.755,53.69,53.72,238071
350,53.776,53.85,53.645,53.695,627683
351,53.86,53.96,53.76,53.78,612561
352,53.8,53.87,53.74,53.86,352867
353,53.8,53.83,53.75,53.8,376360
354,53.7601,53.81,53.74,53.7999,477611
355,53.76,53.78,53.73,53.76,359989
356,53.81,53.82,53.73,53.76,487577
357,53.83,53.87,53.79,53.815,324054
358,53.795,53.84,53.76,53.83,342972
359,53.835,53.87,53.78,53.79,455635
360,53.855,53.9,53.82,53.8311,431797
361,53.8766,53.9301,53.83,53.86,442910
362,53.85,53.8799,53.8,53.8701,476535
363,53.875,53.93,53.85,53.86,674165
364,53.735,53.88,53.72,53.8701,755004
365,53.715,53.78,53.69,53.73,1035902
366,53.69,53.73,53.64,53.72,3829066
576,53.555,53.6,53.54,53.54,457481
577,53.63,53.69,53.41,53.55,737860
578,53.7575,53.775,53.575,53.64,524373
579,53.54,53.7599,53.52,53.7599,715963
580,53.495,53.6,53.48,53.54,423486
581,53.55,53.56,53.49,53.495,478531
582,53.526,53.56,53.48,53.5485,432899
583,53.28,53.54,53.27,53.525,924211
584,53.295,53.355,53.26,53.28,599960
585,53.36,53.42,53.29,53.3,403878
586,53.075,53.39,53.06,53.36,948271
587,53.045,53.16,53.01,53.0836,786828
588,52.985,53.07,52.955,53.045,870846
589,53.1,53.11,52.98,52.985,762163
590,53.01,53.1531,52.98,53.11,869821
591,53.045,53.11,53.005,53.01,666906
592,52.985,53.04,52.92,53.035,572709
593,52.959,53.005,52.86,52.985,593500
594,53,53.01,52.95,52.96,419094
595,53.1,53.1036,52.99,53,720323
596,53.2249,53.23,53.04,53.1,416785
597,53.3,53.34,53.215,53.23,830166
598,53.3575,53.44,53.285,53.305,660137
599,53.275,53.42,53.27,53.36,376992
600,53.18,53.275,53.18,53.27,368377
601,53.16,53.245,53.16,53.185,551109
602,53.145,53.175,53.11,53.16,456176
603,53.2,53.2,53.125,53.145,411673
604,53.1936,53.2,53.155,53.195,368403
605,53.21,53.22,53.1601,53.196,269004
